experiment_name,epoch,train_loss,train_accuracy,val_loss,val_accuracy,timestamp
10fold_cross_validation,0,0.6519708503695095,0.6705882352941176,0.6599571307500204,0.6111111111111112,2022_08_17_06_53_45
10fold_cross_validation,1,0.6261053509571973,0.6705882352941176,0.6689499732520845,0.6111111111111112,2022_08_17_06_53_45
10fold_cross_validation,2,0.6498788344509462,0.6705882352941176,0.6943583819601271,0.6111111111111112,2022_08_17_06_53_45
10fold_cross_validation,3,0.6188409375793794,0.6647058823529411,0.6433814946148131,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,4,0.581718926394687,0.7,0.6659376356336806,0.6111111111111112,2022_08_17_06_53_45
10fold_cross_validation,5,0.5488225422361318,0.7235294117647059,0.7063966025080946,0.6111111111111112,2022_08_17_06_53_45
10fold_cross_validation,6,0.4637333008940058,0.7823529411764706,0.5891715826259719,0.7222222222222222,2022_08_17_06_53_45
10fold_cross_validation,7,0.4072575009975801,0.8411764705882353,1.0126032118375103,0.6111111111111112,2022_08_17_06_53_45
10fold_cross_validation,8,0.3979634617959358,0.8117647058823529,0.6983681827162703,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,9,0.3720371721230228,0.8588235294117647,0.7324563233996741,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,10,0.3637877301978947,0.8588235294117647,0.7286014499873595,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,11,0.4304915476747898,0.7941176470588235,1.08125080533662,0.6111111111111112,2022_08_17_06_53_45
10fold_cross_validation,12,0.4523243597773698,0.8058823529411765,0.9517039905024124,0.6111111111111112,2022_08_17_06_53_45
10fold_cross_validation,13,0.4119695075574889,0.8294117647058824,0.8842769444502968,0.6111111111111112,2022_08_17_06_53_45
10fold_cross_validation,14,0.3668494213954545,0.8294117647058824,0.7230892607476562,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,15,0.3676649564979096,0.8647058823529412,0.7000625039153319,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,16,0.3730234854183543,0.8352941176470589,0.8898281702454874,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,17,0.35782526388511,0.8764705882352941,0.6713594158257669,0.7222222222222222,2022_08_17_06_53_45
10fold_cross_validation,18,0.3468971004451784,0.8470588235294118,0.565508152047793,0.7222222222222222,2022_08_17_06_53_45
10fold_cross_validation,19,0.5387800904922188,0.7470588235294118,0.5572125768909851,0.7222222222222222,2022_08_17_06_53_45
10fold_cross_validation,20,0.3648173094480572,0.8588235294117647,0.8723332302373213,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,21,0.3556035511147724,0.8647058823529412,0.5611336742683003,0.7222222222222222,2022_08_17_06_53_45
10fold_cross_validation,22,0.3804521270260653,0.8411764705882353,0.6298632872963531,0.7777777777777778,2022_08_17_06_53_45
10fold_cross_validation,23,0.3624632104163003,0.8588235294117647,0.8707643045595937,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,24,0.339245681778437,0.8764705882352941,0.5856320421573602,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,25,0.3643527497360671,0.8411764705882353,0.6426178642690906,0.7222222222222222,2022_08_17_06_53_45
10fold_cross_validation,26,0.3636860823921298,0.8588235294117647,0.819916587971319,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,27,0.3390087760758059,0.8647058823529412,0.9116883548752716,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,28,0.3947874299346842,0.8470588235294118,0.9550614034111884,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,29,0.3490382795062032,0.8647058823529412,0.7116482780289112,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,30,0.3490620678660515,0.8529411764705882,1.332157913777716,0.6111111111111112,2022_08_17_06_53_45
10fold_cross_validation,31,0.3499991000824272,0.8529411764705882,0.5555787868021677,0.7222222222222222,2022_08_17_06_53_45
10fold_cross_validation,32,0.3378794686738675,0.8529411764705882,0.9975285080238084,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,33,0.3329717892769943,0.8647058823529412,0.615027674435017,0.7222222222222222,2022_08_17_06_53_45
10fold_cross_validation,34,0.3485083572078057,0.8411764705882353,0.6728588044320026,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,35,0.3381943148170488,0.8470588235294118,0.9800756813330938,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,36,0.352730912297471,0.8647058823529412,0.7076551305492305,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,37,0.3466377479726361,0.8823529411764706,0.9157300980465758,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,38,0.3549474542808157,0.8588235294117647,0.7008129736706097,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,39,0.3255635368328084,0.8647058823529412,0.5774328951051252,0.7222222222222222,2022_08_17_06_53_45
10fold_cross_validation,40,0.3171538091853589,0.8764705882352941,0.9319979161767454,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,41,0.3509323215474657,0.8352941176470589,0.7240182742890384,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,42,0.3754190470169466,0.8470588235294118,0.9140755364472474,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,43,0.3541301790209699,0.8529411764705882,1.2220299561686767,0.6111111111111112,2022_08_17_06_53_45
10fold_cross_validation,44,0.3423143741318253,0.8705882352941177,0.7987117847563544,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,45,0.3302804013506187,0.8529411764705882,0.8588584861952566,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,46,0.3393094288965478,0.8588235294117647,0.7875005772980835,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,47,0.3478332934520201,0.8470588235294118,0.7417537439970248,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,48,0.3357360514859251,0.8705882352941177,0.8118446848222649,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,49,0.3168800146698766,0.8588235294117647,0.5538521006625766,0.7777777777777778,2022_08_17_06_53_45
10fold_cross_validation,50,0.3358660797122866,0.8529411764705882,0.5940496764249272,0.7222222222222222,2022_08_17_06_53_45
10fold_cross_validation,51,0.3245935358824414,0.8705882352941177,0.875326140632549,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,52,0.3473333835815912,0.8411764705882353,0.8972834053412144,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,53,0.3052968356504981,0.8705882352941177,0.7429439826066502,0.7222222222222222,2022_08_17_06_53_45
10fold_cross_validation,54,0.3305835220411502,0.8588235294117647,0.596591408267462,0.7222222222222222,2022_08_17_06_53_45
10fold_cross_validation,55,0.3124068030964254,0.8764705882352941,0.7575926605208628,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,56,0.3141897061504577,0.8705882352941177,0.7757050597663491,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,57,0.3136238562158028,0.8647058823529412,0.7252697672568805,0.7222222222222222,2022_08_17_06_53_45
10fold_cross_validation,58,0.384400388208428,0.8411764705882353,0.5125898847149478,0.7777777777777778,2022_08_17_06_53_45
10fold_cross_validation,59,0.3600324097431867,0.8647058823529412,0.575910469943968,0.7222222222222222,2022_08_17_06_53_45
10fold_cross_validation,60,0.2977355940841816,0.8941176470588236,0.6504488059824022,0.6666666666666666,2022_08_17_06_53_45
10fold_cross_validation,61,0.3333868970596621,0.888235294117647,0.5535921281100147,0.7777777777777778,2022_08_17_06_53_45
